ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,eyes_camera_pos,eyes_camera_rot,framerate
968.1698,59,958.4854,964.0893,Lab_Idle,0,default,-0.003469842 1.69221 0.3858484,4.390664 0.01816123 0.4468246,69.50925
990.4188,60,968.6644,986.3387,Lab_Idle,0,default,-0.003500008 1.692189 0.3858465,4.388557 0.02334721 0.4482351,69.95124
1001.704,61,991.018,997.6252,Lab_Idle,0,default,-0.003371645 1.692043 0.3858851,4.389962 0.02030815 0.4490008,70.28764
1024.087,62,1002.24,1020.018,Lab_Idle,0,default,-0.003387633 1.692029 0.385888,4.389509 0.01894254 0.4459337,70.91338
1034.943,63,1024.702,1030.863,Lab_Idle,0,default,-0.003244979 1.692086 0.3857229,4.388301 0.01841778 0.4527751,70.55009
1046.275,64,1035.408,1042.194,Lab_Idle,0,default,-0.003256129 1.692062 0.3857248,4.387861 0.01532348 0.4492114,70.37581
1068.166,65,1046.719,1064.086,Lab_Idle,0,default,-0.003322007 1.692047 0.3856717,4.391119 0.02052995 0.449433,70.32351
1079.395,66,1068.804,1075.32,Lab_Idle,0,default,-0.003347916 1.691998 0.3856607,4.390899 0.02107144 0.4513929,70.32586
1101.931,67,1079.895,1097.853,Lab_Idle,0,default,-0.003398691 1.69206 0.3856814,4.389857 0.02267965 0.4580929,70.61945
1112.976,68,1102.572,1108.896,Lab_Idle,0,default,-0.003433457 1.692014 0.3856742,4.38475 0.01878337 0.4586898,70.23778
1123.71,69,1113.477,1119.634,Lab_Idle,0,default,-0.003452593 1.692002 0.385672,4.390033 0.01779037 0.4539767,70.31819
1146.279,70,1124.133,1142.198,Lab_Idle,0,default,-0.003678567 1.692011 0.3856137,4.38865 0.01937849 0.453463,70.6763
1157.166,71,1146.767,1153.086,Lab_Idle,0,default,-0.003708549 1.691963 0.3856034,4.384573 0.01896782 0.4547231,70.63068
1179.358,72,1157.598,1175.278,Lab_Idle,0,default,-0.003580314 1.691839 0.3854401,4.391103 0.01971212 0.4574204,71.37605
1190.552,73,1179.864,1186.472,Lab_Idle,0,default,-0.003608946 1.691796 0.3854254,4.390831 0.01947441 0.4546814,70.27947
1201.045,74,1191.029,1196.963,Lab_Idle,0,default,-0.003748911 1.691764 0.3855106,4.388748 0.01643428 0.4567707,70.57755
1224.001,75,1201.486,1219.92,Lab_Idle,0,default,-0.00377924 1.691737 0.3855154,4.390397 0.01958277 0.4562579,71.37624
1234.825,76,1224.494,1230.744,Lab_Idle,0,default,-0.003894237 1.691848 0.3854521,4.391494 0.02025166 0.4578709,71.3665
1256.958,77,1235.269,1252.878,Lab_Idle,0,default,-0.003912462 1.691822 0.3854509,4.392389 0.02306566 0.4557417,71.35059
1268.212,78,1257.55,1264.132,Lab_Idle,0,default,-0.00373455 1.691679 0.3854221,4.390584 0.01972435 0.4565741,70.59201
1279.225,79,1268.768,1275.144,Lab_Idle,0,default,-0.003764841 1.69165 0.3854274,4.385631 0.02009789 0.4589089,71.28745
1301.468,80,1279.796,1297.389,Lab_Idle,0,default,-0.00376721 1.691987 0.3853653,4.392741 0.01976449 0.463725,71.29525
1312.798,81,1302.049,1308.719,Lab_Idle,0,default,-0.003794873 1.691949 0.3853517,4.392007 0.01910163 0.4584002,71.29545
1334.81,82,1313.229,1330.729,Lab_Idle,0,default,-0.003656531 1.691771 0.3852188,4.391922 0.02124853 0.4590172,71.27695
1346.109,83,1335.313,1342.03,Lab_Idle,0,default,-0.003689158 1.691744 0.3852106,4.389303 0.02019838 0.4564197,71.28204
1356.874,84,1346.545,1352.796,Lab_Idle,0,default,-0.003705464 1.691726 0.3852022,4.387595 0.01773372 0.4565445,71.26434
1379.39,85,1357.323,1375.31,Lab_Idle,0,default,-0.003776233 1.691796 0.3852211,4.391217 0.02388394 0.4573269,71.59632
1390.384,86,1379.895,1386.304,Lab_Idle,0,default,-0.003815011 1.69177 0.3851957,4.394465 0.02029832 0.456885,71.3135
1412.716,87,1390.816,1408.636,Lab_Idle,0,default,-0.003587373 1.691648 0.3851274,4.390486 0.02065806 0.4628449,71.61606
1423.725,88,1413.243,1419.646,Lab_Idle,0,default,-0.003621558 1.691604 0.3851012,4.388083 0.02384578 0.4638031,71.29132
1446.932,89,1424.177,1442.853,Lab_Idle,0,default,-0.003447436 1.691424 0.3850106,4.386763 0.02105423 0.4578304,71.34442
1457.035,90,1447.593,1452.955,Lab_Idle,0,default,-0.003478209 1.691382 0.3849885,4.382052 0.02210378 0.4587049,71.01212
1468.05,91,1457.483,1463.969,Lab_Idle,0,default,-0.003347183 1.691422 0.3849418,4.385934 0.02235514 0.4609915,71.45282
1490.37,92,1468.584,1486.29,Lab_Idle,0,default,-0.003365841 1.691392 0.3849235,4.387806 0.0190799 0.4628745,71.75125
1501.772,93,1490.871,1497.692,Lab_Idle,0,default,-0.003078998 1.691537 0.3847325,4.387105 0.01984158 0.4590914,71.46518
1523.805,94,1502.218,1519.725,Lab_Idle,0,default,-0.003115274 1.691541 0.3847079,4.386265 0.02361036 0.4590539,71.42332
1534.773,95,1524.465,1530.693,Lab_Idle,0,default,-0.003078138 1.691458 0.3847151,4.385154 0.01775069 0.4600446,71.43076
1546.256,96,1535.202,1542.176,Lab_Idle,0,default,-0.003078138 1.691448 0.3846999,4.38418 0.01976945 0.4622555,71.73332
1568.262,97,1546.703,1564.183,Lab_Idle,0,default,-0.003130549 1.691421 0.3846672,4.387192 0.02304438 0.4572906,72.39877
1579.325,98,1568.75,1575.244,Lab_Idle,0,default,-0.003146258 1.691391 0.3846345,4.382058 0.01899671 0.4580784,71.36778
1601.438,99,1579.786,1597.359,Lab_Idle,0,default,-0.00325611 1.691469 0.3849289,4.385933 0.02080562 0.4631982,71.66035
1612.899,100,1601.916,1608.819,Lab_Idle,0,default,-0.00328877 1.691434 0.3848947,4.388083 0.01812263 0.4647225,71.38306
1623.715,101,1613.37,1619.634,Lab_Idle,0,default,-0.003317932 1.691409 0.3848824,4.388507 0.01983652 0.463853,71.32537
1646.111,102,1624.135,1642.031,Lab_Idle,0,default,-0.003428041 1.691462 0.3849604,4.385739 0.02204943 0.462918,71.65278
1657.185,103,1646.597,1653.105,Lab_Idle,0,default,-0.003459034 1.691428 0.3849381,4.386596 0.02261812 0.4680822,71.33295
1679.646,104,1657.633,1675.567,Lab_Idle,0,default,-0.003305482 1.691455 0.38484,4.388758 0.0234713 0.4680429,71.62497
1690.575,105,1680.181,1686.494,Lab_Idle,0,default,-0.003333634 1.691429 0.3848162,4.39166 0.02339941 0.4689514,71.32945
1701.275,106,1691.017,1697.194,Lab_Idle,0,default,-0.003304332 1.691467 0.3848439,4.390666 0.02309031 0.4677334,71.6408
