ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,camera_rig_pos,camera_rig_rot,framerate
1690.266,118,1679.612,1686.997,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.51379
1712.779,119,1691.008,1709.512,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.12558
1723.798,120,1713.534,1720.53,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.29841
1734.963,121,1724.64,1731.691,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.29768
1745.624,122,1735.525,1742.352,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.46684
1768.57,123,1746.043,1765.299,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.18332
1778.888,124,1769.098,1775.614,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.32891
1790.026,125,1779.274,1786.759,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.58762
1812.785,126,1790.542,1809.515,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.21848
1823.839,127,1813.286,1820.567,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.35787
1835.057,128,1824.324,1831.786,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.35489
1845.893,129,1835.47,1842.621,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.50473
1868.5,130,1846.37,1865.234,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.16331
1878.891,131,1869.041,1875.617,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.1802
1889.965,132,1879.261,1886.693,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.44039
1912.582,133,1890.367,1909.311,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.60262
1923.352,134,1913.394,1920.08,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.38316
1935.081,135,1923.956,1931.816,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.41039
1956.848,136,1935.609,1953.58,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.50951
1968.243,137,1957.46,1964.972,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.27856
1979.165,138,1968.696,1975.893,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.25751
1990.135,139,1979.816,1986.866,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.2673
2012.548,140,1990.782,2009.277,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.46429
2023.404,141,2013.353,2020.131,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.27919
2035.06,142,2024.22,2031.79,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.29694
2045.583,143,2035.662,2042.311,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.23763
2068.749,144,2046.18,2065.478,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.47323
2079.369,145,2069.614,2076.099,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.09248
2089.945,146,2079.922,2086.682,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.33554
